# Decryption Dispatch Table
# Total sparse-switch tables: 72
# Total unique hash keys: 288

# Format: hash_key -> table_idx, key_idx, handler_offset
  -142451796 (0x-87da454) -> table[45].key[2] -> +4
  -123920356 (0x-762dfe4) -> table[16].key[3] -> +37
   -62074932 (0x-3b33034) -> table[45].key[3] -> +-13
   -56671902 (0x-360be9e) -> table[44].key[1] -> +99
   -14914511 (0x-0e393cf) -> table[46].key[2] -> +13
   -14281180 (0x-0d9e9dc) -> table[50].key[3] -> +4
    21876392 (0x014dcea8) -> table[3].key[2] -> +63
    59382606 (0x038a1b4e) -> table[29].key[1] -> +4
    82815876 (0x04efab84) -> table[14].key[0] -> +10
    86292829 (0x0524b95d) -> table[1].key[1] -> +4
    93736870 (0x05964fa6) -> table[38].key[1] -> +13
   103662733 (0x062dc48d) -> table[14].key[1] -> +-13
   131773091 (0x07dab2a3) -> table[71].key[1] -> +12
   133715193 (0x07f854f9) -> table[49].key[0] -> +118
   137939318 (0x0838c976) -> table[43].key[2] -> +119
   162684737 (0x09b25f41) -> table[64].key[2] -> +4
   186235576 (0x0b19bab8) -> table[19].key[0] -> +43
   189476005 (0x0b4b2ca5) -> table[55].key[2] -> +21
   199884867 (0x0bea0043) -> table[29].key[2] -> +-13
   212220453 (0x0ca63a25) -> table[61].key[1] -> +4
   219007661 (0x0d0dcaad) -> table[11].key[2] -> +17
   247688429 (0x0ec36ced) -> table[18].key[1] -> +4
   265000348 (0x0fcb959c) -> table[38].key[2] -> +7
   280087489 (0x10b1cbc1) -> table[12].key[3] -> +60
   396344200 (0x179fbb88) -> table[48].key[2] -> +24
   397077777 (0x17aaed11) -> table[27].key[2] -> +4
   407612609 (0x184bacc1) -> table[65].key[2] -> +40
   434615242 (0x19e7b3ca) -> table[52].key[2] -> +-13
   437058481 (0x1a0cfbb1) -> table[34].key[1] -> +4
   446908492 (0x1aa3484c) -> table[20].key[1] -> +4
   466278339 (0x1bcad7c3) -> table[71].key[2] -> +-13
   496175000 (0x1d930798) -> table[40].key[3] -> +11
   529380912 (0x1f8db630) -> table[4].key[1] -> +4
   534422298 (0x1fdaa31a) -> table[37].key[1] -> +68
   554855744 (0x21126d40) -> table[7].key[1] -> +4
   557664695 (0x213d49b7) -> table[22].key[2] -> +151
   558303144 (0x214707a8) -> table[64].key[3] -> +63
   558815633 (0x214ed991) -> table[32].key[1] -> +-146
   561163949 (0x2172aead) -> table[51].key[1] -> +15
   570634622 (0x2203317e) -> table[66].key[0] -> +17
   575458988 (0x224cceac) -> table[47].key[2] -> +10
   582185989 (0x22b37405) -> table[68].key[1] -> +4
   586520976 (0x22f59990) -> table[63].key[2] -> +-13
   588165015 (0x230eaf97) -> table[30].key[3] -> +20
   590641190 (0x23347826) -> table[60].key[2] -> +10
   595274211 (0x237b29e3) -> table[9].key[2] -> +4
   612660391 (0x248474a7) -> table[49].key[1] -> +67
   612978305 (0x24894e81) -> table[57].key[2] -> +4
   619935349 (0x24f37675) -> table[5].key[1] -> +17
   620731872 (0x24ff9de0) -> table[19].key[1] -> +7
   621335927 (0x2508d577) -> table[68].key[2] -> +10
   625399216 (0x2546d5b0) -> table[70].key[2] -> +11
   645427316 (0x26787074) -> table[69].key[1] -> +4
   681899516 (0x28a4f5fc) -> table[43].key[3] -> +283
   691628617 (0x29396a49) -> table[4].key[2] -> +40
   730977143 (0x2b91d377) -> table[47].key[3] -> +4
   760132040 (0x2d4eb1c8) -> table[24].key[2] -> +10
   761711270 (0x2d66caa6) -> table[2].key[3] -> +-13
   768555599 (0x2dcf3a4f) -> table[13].key[2] -> +4
   794857207 (0x2f608ef7) -> table[67].key[1] -> +74
   803491827 (0x2fe44ff3) -> table[67].key[2] -> +4
   821522174 (0x30f76efe) -> table[1].key[2] -> +10
   888670549 (0x34f80955) -> table[27].key[3] -> +372
   892079124 (0x352c0c14) -> table[34].key[2] -> +42
   900559127 (0x35ad7117) -> table[19].key[2] -> +13
   903735534 (0x35dde8ee) -> table[26].key[1] -> +7
   944140239 (0x38466fcf) -> table[28].key[2] -> +66
   945588556 (0x385c894c) -> table[7].key[2] -> +138
   955123276 (0x38ee064c) -> table[44].key[2] -> +70
   975147640 (0x3a1f9278) -> table[36].key[1] -> +-13
   985931169 (0x3ac41da1) -> table[17].key[2] -> +13
  1002973247 (0x3bc8283f) -> table[22].key[3] -> +133
  1010461532 (0x3c3a6b5c) -> table[52].key[3] -> +38
  1020402114 (0x3cd219c2) -> table[19].key[3] -> +4
  1030918129 (0x3d728ff1) -> table[7].key[3] -> +150
  1071109229 (0x3fd7d46d) -> table[24].key[3] -> +-13
  1092897647 (0x41244b6f) -> table[49].key[2] -> +119
  1100528950 (0x4198bd36) -> table[51].key[2] -> +4
  1102892747 (0x41bccecb) -> table[20].key[2] -> +-13
  1106824757 (0x41f8ce35) -> table[21].key[2] -> +77
  1109509304 (0x4221c4b8) -> table[46].key[3] -> +4
  1109825555 (0x42269813) -> table[31].key[2] -> +51
  1110288010 (0x422da68a) -> table[58].key[1] -> +72
  1113865186 (0x42643be2) -> table[53].key[2] -> +4
  1122469801 (0x42e787a9) -> table[14].key[2] -> +4
  1128400144 (0x43420510) -> table[23].key[2] -> +4
  1130955801 (0x43690419) -> table[26].key[2] -> +13
  1146358283 (0x44540a0b) -> table[8].key[0] -> +37
  1151662665 (0x44a4fa49) -> table[66].key[1] -> +10
  1191511254 (0x470504d6) -> table[8].key[1] -> +-13
  1191743686 (0x470890c6) -> table[42].key[3] -> +4
  1207322951 (0x47f64947) -> table[36].key[2] -> +15
  1276753019 (0x4c19b47b) -> table[31].key[3] -> +4
  1290801280 (0x4cf01080) -> table[54].key[2] -> +4
  1295595250 (0x4d3936f2) -> table[1].key[3] -> +43
  1313998126 (0x4e52052e) -> table[8].key[2] -> +4
  1346199252 (0x503d5ed4) -> table[33].key[3] -> +4
  1384289125 (0x52829365) -> table[20].key[3] -> +14
  1391551958 (0x52f165d6) -> table[26].key[3] -> +20
  1394760876 (0x53225cac) -> table[10].key[1] -> +10
  1416858826 (0x54738cca) -> table[56].key[2] -> +16
  1426326249 (0x550402e9) -> table[48].key[3] -> +75
  1477191550 (0x580c277e) -> table[58].key[2] -> +61
  1509117466 (0x59f34e1a) -> table[65].key[3] -> +4
  1516347797 (0x5a61a195) -> table[66].key[2] -> +20
  1516504130 (0x5a640442) -> table[9].key[3] -> +13
  1517087143 (0x5a6ce9a7) -> table[49].key[3] -> +4
  1520765161 (0x5aa508e9) -> table[0].key[1] -> +63
  1534310852 (0x5b73b9c4) -> table[18].key[2] -> +63
  1536904021 (0x5b9b4b55) -> table[61].key[2] -> +63
  1591531021 (0x5edcd60d) -> table[18].key[3] -> +60
  1606721088 (0x5fc49e40) -> table[10].key[2] -> +40
  1617870514 (0x606ebeb2) -> table[36].key[3] -> +4
  1618470743 (0x6077e757) -> table[8].key[3] -> +40
  1623598328 (0x60c624f8) -> table[61].key[3] -> +74
  1629236484 (0x611c2d04) -> table[38].key[3] -> +51
  1656901474 (0x62c24f62) -> table[25].key[3] -> +37
  1677658660 (0x63ff0a24) -> table[0].key[2] -> +420
  1694093590 (0x64f9d116) -> table[66].key[3] -> +4
  1695362126 (0x650d2c4e) -> table[5].key[2] -> +-13
  1709507422 (0x65e5035e) -> table[23].key[3] -> +10
  1730019638 (0x671e0136) -> table[13].key[3] -> +10
  1732862238 (0x6749611e) -> table[69].key[2] -> +14
  1733811781 (0x6757de45) -> table[3].key[3] -> +4
  1771934472 (0x699d9308) -> table[17].key[3] -> +4
  1772174813 (0x69a13ddd) -> table[15].key[3] -> +10
  1782569604 (0x6a3fda84) -> table[41].key[3] -> +-13
  1783089362 (0x6a47c8d2) -> table[32].key[2] -> +4
  1786948217 (0x6a82aa79) -> table[32].key[3] -> +137
  1806636978 (0x6baf17b2) -> table[29].key[3] -> +43
  1807737595 (0x6bbfe2fb) -> table[58].key[3] -> +10
  1814870849 (0x6c2cbb41) -> table[60].key[3] -> +15
  1845499686 (0x6e001726) -> table[44].key[3] -> +102
  1861426961 (0x6ef31f11) -> table[59].key[2] -> +4
  1879531916 (0x7007618c) -> table[37].key[2] -> +4
  1880899029 (0x701c3dd5) -> table[55].key[3] -> +39
  1884498671 (0x70532aef) -> table[71].key[3] -> +15
  1912531034 (0x71fee85a) -> table[37].key[3] -> +76
  1923311184 (0x72a36650) -> table[51].key[3] -> +-13
  1927401515 (0x72e1d02b) -> table[6].key[2] -> +24
  1937635017 (0x737df6c9) -> table[69].key[3] -> +-13
  1960088724 (0x74d49494) -> table[70].key[3] -> +39
  1985824098 (0x765d4562) -> table[57].key[3] -> +-1343
  1985890608 (0x765e4930) -> table[5].key[3] -> +4
  1991814189 (0x76b8ac2d) -> table[67].key[3] -> +18
  1992422171 (0x76c1f31b) -> table[56].key[3] -> +4
  2001626177 (0x774e6441) -> table[35].key[3] -> +22
  2006945001 (0x779f8ce9) -> table[54].key[3] -> +62
  2014149152 (0x780d7a20) -> table[11].key[3] -> +10
  2017292259 (0x783d6fe3) -> table[28].key[3] -> +1226
  2038522995 (0x79816473) -> table[4].key[3] -> +10
  2044156272 (0x79d75970) -> table[63].key[3] -> +17
  2046591266 (0x79fc8122) -> table[59].key[3] -> +38
  2052802256 (0x7a5b46d0) -> table[34].key[3] -> +-13
  2055879471 (0x7a8a3b2f) -> table[6].key[3] -> +80
  2072404305 (0x7b866151) -> table[14].key[3] -> +17
  2077881393 (0x7bd9f431) -> table[68].key[3] -> +40
  2088306372 (0x7c7906c4) -> table[0].key[3] -> +4
  2108693858 (0x7db01d62) -> table[21].key[3] -> +80
  2110021808 (0x7dc460b0) -> table[10].key[3] -> +4
  2130423746 (0x7efbafc2) -> table[53].key[3] -> +15
