# BL call targets, sorted by call count
# Total unique targets: 12908

0x00a04160 called 20 times
0x00a90750 called 20 times
0x00a90358 called 20 times
0x00b4dea8 called 20 times
0x00cb6888 called 20 times
0x00cb6d60 called 20 times
0x00465a8c called 19 times
0x00472d2c called 19 times
0x0048bd28 called 19 times
0x00481d60 called 19 times
0x00481abc called 19 times
0x00485e38 called 19 times
0x00d93c18 called 19 times
0x008fcaac called 19 times
0x00651ccc called 19 times
0x0083f0e4 called 19 times
0x008f38a0 called 19 times
0x0095c264 called 19 times
0x00988ba0 called 19 times
0x009bd65c called 19 times
0x00d82c5c called 19 times
0x00ccf904 called 19 times
0x00dada0c called 19 times
0x00db0020 called 19 times
0x0046d528 called 18 times
0x00487108 called 18 times
0x00f91198 called 18 times
0x0049c1ec called 18 times
0x0049c338 called 18 times
0x004c6448 called 18 times
0x004c8a98 called 18 times
0x004d4adc called 18 times
0x004f2798 called 18 times
0x0055dbc8 called 18 times
0x005728d0 called 18 times
0x00572b1c called 18 times
0x00925110 called 18 times
0x00911788 called 18 times
0x005b06dc called 18 times
0x005fa7cc called 18 times
0x0097f288 called 18 times
0x00998fb4 called 18 times
0x009bc4d0 called 18 times
0x00a06f14 called 18 times
0x00eb14f8 called 18 times
0x00eb2d04 called 18 times
0x00467b14 called 17 times
0x004734dc called 17 times
0x0048f594 called 17 times
0x0048f410 called 17 times
0x004c5c64 called 17 times
0x004c9c34 called 17 times
0x004da0e4 called 17 times
0x00f0cdac called 17 times
0x00997c64 called 17 times
0x00f81b38 called 17 times
0x00c83a9c called 17 times
0x0053cb10 called 17 times
0x00540d30 called 17 times
0x005584e8 called 17 times
0x005639c4 called 17 times
0x00f17e98 called 17 times
0x00498ad0 called 17 times
0x008cf36c called 17 times
0x00616a34 called 17 times
0x00cd279c called 17 times
0x00654abc called 17 times
0x007e09d4 called 17 times
0x00607b10 called 17 times
0x00811c38 called 17 times
0x00833530 called 17 times
0x0081ffac called 17 times
0x00820d90 called 17 times
0x00820d80 called 17 times
0x00820b40 called 17 times
0x0084d9f4 called 17 times
0x00856cb8 called 17 times
0x00871fe0 called 17 times
0x00897a48 called 17 times
0x008a13e8 called 17 times
0x00f911c0 called 17 times
0x00f83c04 called 17 times
0x00f911e8 called 17 times
0x004d19c0 called 17 times
0x009abcc0 called 17 times
0x009d3964 called 17 times
0x00a111c4 called 17 times
0x00a14ae0 called 17 times
0x00cb38f0 called 17 times
0x00f0be90 called 17 times
0x00f3dfe8 called 17 times
0x00476b64 called 17 times
0x0047dbd4 called 16 times
0x0049aa0c called 16 times
0x004a0360 called 16 times
0x004cb950 called 16 times
0x00f91210 called 16 times
0x0051ba60 called 16 times
0x00537630 called 16 times
0x00935ce8 called 16 times
0x00570ae4 called 16 times
0x00905438 called 16 times
0x006319d0 called 16 times
0x00651cbc called 16 times
0x00f277f8 called 16 times
0x0080ef10 called 16 times
0x0083359c called 16 times
0x0081f82c called 16 times
0x0081f694 called 16 times
0x00860a7c called 16 times
0x00897bbc called 16 times
0x009fc348 called 16 times
0x00cf26b0 called 16 times
0x00d67f58 called 16 times
0x00f0bb60 called 16 times
0x00f3dc6c called 16 times
0x00f5f004 called 16 times
0x00f5ef40 called 16 times
0x00472fb4 called 15 times
0x0049fb90 called 15 times
0x00c6c2d0 called 15 times
0x005059b4 called 15 times
0x00527778 called 15 times
0x0093d854 called 15 times
0x0052b874 called 15 times
0x005301f4 called 15 times
0x00c6ed9c called 15 times
0x00548a6c called 15 times
0x00543334 called 15 times
0x00936c5c called 15 times
0x00557d44 called 15 times
0x00568fd4 called 15 times
0x0056db68 called 15 times
